1,Al-Fatihah,ٱلْفَاتِحَة,The Opening,7,Makkah,1,1
2,Al-Baqarah,ٱلْبَقَرَة,The Calf,286,Madinah,1,3
3,Aali 'Imran,آلِ عِمْرَان,The Family of Imraan,200,Madinah,3,4
4,An-Nisa,ٱلنِّسَاء,The Women,176,Madinah,4,6
5,Al-Ma'idah,ٱلْمَائِدَة,The Food,120,Madinah,6,7
6,Al-An'am,ٱلْأَنْعَام,The Cattle,165,Makkah,7,8
7,Al-A'raf,ٱلْأَعْرَاف,The Heights,206,Makkah,8,9
8,Al-Anfal,ٱلْأَنْفَال,The Spoils of War,75,Madinah,9,10
9,At-Tawbah,ٱلتَّوْبَة,The Repentance,127,Madinah,10,11
10,Yunus,يُونُس,Jonah,109,Makkah,11,11
11,Hud,هُود,Hud,123,Makkah,11,12
12,Yusuf,يُوسُف,Joseph,111,Makkah,12,13
13,Ar-Ra'd,ٱلرَّعْد,The Thunder,43,Madinah,13,13
14,Ibrahim,إِبْرَاهِيم,Abraham,52,Makkah,13,13
15,Al-Hijr,ٱلْحِجْر,The Rocky Tract,99,Makkah,14,14
16,An-Nahl,ٱلنَّحْل,The Bee,128,Makkah,14,14
17,Al-Isra,ٱلْإِسْرَاء,The Night Journey,111,Makkah,15,15
18,Al-Kahf,ٱلْكَهْف,The Cave,110,Makkah,15,16
19,Maryam,مَرْيَم,Mary,98,Makkah,16,16
20,Ta-Ha,طه,Ṭāʾ Hāʾ,135,Makkah,16,16
21,Al-Anbiya,ٱلْأَنْبِيَاء,The Prophets,112,Makkah,17,17
22,Al-Hajj,ٱلْحَجّ,The Pilgrimage,78,Madinah,17,17
23,Al-Mu'minun,ٱلْمُؤْمِنُون,The Believers,118,Makkah,18,18
24,An-Nur,ٱلنُّور,The Light,64,Madinah,18,18
25,Al-Furqan,ٱلْفُرْقَان,The Criterion,77,Makkah,18,19
26,Ash-Shu'ara,ٱلشُّعَرَاء,The Poets,227,Makkah,19,19
27,An-Naml,ٱلنَّمْل,The Ant,93,Makkah,19,20
28,Al-Qasas,ٱلْقَصَص,The Narrations,88,Makkah,20,20
29,Al-Ankabut,ٱلْعَنْكَبُوت,The Spider,69,Makkah,20,21
30,Ar-Rum,ٱلرُّوم,Rome,60,Makkah,21,21
31,Luqmaan,لُقْمَان,Luqman,34,Makkah,21,21
32,As-Sajdah,ٱلسَّجْدَة,The Prostration,30,Makkah,21,21
33,Al-Ahzaab,ٱلْأَحْزَاب,The Clans,73,Madinah,21,22
34,Saba (surah),سَبَأ,Sheba,54,Makkah,22,22
35,Faatir,فَاطِر,The Originator,45,Makkah,22,22
36,Ya-Sin,يس,Yāʾ Sīn,83,Makkah,22,23
37,As-Saaffaat,ٱلصَّافَّات,Those Who Set The Ranks,182,Makkah,23,23
38,Saad,ص,Ṣād,88,Makkah,23,23
39,Az-Zumar,ٱلزُّمَر,The Crowds,75,Makkah,23,24
40,Ghafir,غَافِر,The Forgiver,85,Makkah,24,24
41,Fussilat,فُصِّلَت,Expounded,54,Makkah,24,25
42,Ash-Shura,ٱلشُّورىٰ,The Consultation,53,Makkah,25,25
43,Az-Zukhruf,ٱلْزُّخْرُف,The Gold Adornments,89,Makkah,25,25
44,Ad-Dukhaan,ٱلدُّخَان,The Smoke,59,Makkah,25,25
45,Al-Jaathiyah,ٱلْجَاثِيَة,The Kneeling Down,37,Makkah,25,25
46,Al-Ahqaaf,ٱلْأَحْقَاف,Winding Sand-tracts,35,Makkah,26,26
47,Muhammad,مُحَمَّد,Muhammad,38,Madinah,26,26
48,Al-Fath,ٱلْفَتْح,The Victory,29,Madinah,26,26
49,Al-Hujuraat,ٱلْحُجُرَات,The Private Apartments,18,Madinah,26,26
50,Qaaf,ق,Q̈āf,45,Makkah,26,26
51,Adh-Dhaariyaat,ٱلذَّارِيَات,The Wind That Scatter,60,Makkah,26,27
52,At-Toor,ٱلطُّور,The Mount,49,Makkah,27,27
